Token,Length,Frequency
i,1,78
do,2,42
prawo,5,35
w,1,32
ma,2,27
Artykuł,7,26
Każdy,5,25
człowiek,8,24
lub,3,21
na,2,15
z,1,14
jego,4,13
wolności,8,12
się,3,11
jest,4,11
praw,4,10
oraz,4,9
Nie,3,8
nie,3,8
że,2,8
wolno,5,8
o,1,7
prawa,5,7
ZWAŻYWSZY,9,7
to,2,7
ochrony,7,7
człowieka,9,6
bez,3,6
ani,3,5
wyznania,8,5
wszystkich,10,5
nikogo,6,5
kraju,5,5
aby,3,5
pracy,5,5
od,2,5
względu,7,5
za,2,5
godności,8,4
samowolnie,10,4
swych,5,4
prawnej,7,4
Państwa,7,4
mają,4,4
dla,3,4
przestępstwa,12,4
konieczne,9,4
jednakowej,10,3
podstawowych,12,3
innymi,6,3
przeciw,7,3
swej,4,3
wszystkie,9,3
zarówno,7,3
społeczeństwa,13,3
Deklarację,10,3
przez,5,3
jakiekolwiek,12,3
osobowości,10,3
ludzkiej,8,3
różnice,7,3
włączając,9,3
życia,5,3
ludzie,6,3
narodów,7,3
sposób,6,3
Deklaracji,10,3
Praw,4,3
jako,4,3
Wszyscy,7,3
są,2,3
świata,6,3
przed,5,3
jak,3,3
być,3,3
Człowieka,9,3
mu,2,3
posiadania,10,3
poprzez,7,3
swobodnego,10,3
równości,8,3
obywatelstwa,12,3
swobodę,7,3
własności,9,2
wśród,5,2
korzystać,9,2
zasadzie,8,2
wobec,5,2
może,4,2
zależności,10,2
związków,8,2
ONZ,3,2
Nauka,5,2
podstawą,8,2
opinii,6,2
niezależny,10,2
swego,5,2
nauczania,9,2
zmiany,6,2
obejmuje,8,2
chwili,6,2
po,2,2
ta,2,2
zgodnie,7,2
społecznej,10,2
oni,3,2
warunków,8,2
władzy,6,2
poglądów,8,2
zawarte,7,2
kraj,4,2
Nikogo,6,2
pomocy,6,2
czy,3,2
równi,5,2
powodu,6,2
publicznie,10,2
rasy,4,2
którym,6,2
społecznych,11,2
ludzkości,9,2
wiary,5,2
bądź,4,2
niniejszą,9,2
czynić,6,2
tych,4,2
też,3,2
zawodowych,10,2
popełnienie,11,2
poszanowania,12,2
wyboru,6,2
razie,5,2
między,6,2
uznanie,7,2
Powszechną,10,2
niniejszej,10,2
Narodów,7,2
Zjednoczonych,13,2
innych,6,2
popełnienia,11,2
różnicy,7,2
narodowości,11,2
społecznego,11,2
swobodnie,9,2
powszechne,10,2
cel,3,2
rozwoju,7,2
można,5,2
niego,5,2
małżeństwa,10,2
rodziny,7,2
każdego,7,2
swym,4,2
we,2,2
podczas,7,2
godność,7,2
przestrzeganie,14,2
ich,3,2
jakikolwiek,11,2
wespół,6,2
swoją,5,2
sumieniem,9,2
zapewniającej,13,2
wolność,7,2
środkami,8,2
środków,7,2
pozbawiać,9,2
wybranych,9,1
jakiegokolwiek,14,1
zawarowanie,11,1
egzystencję,11,1
starości,8,1
toczy,5,1
bezpośrednio,12,1
międzynarodowej,15,1
niezdolności,12,1
obszar,6,1
założenia,9,1
Ogłasza,7,1
względem,8,1
zaniechania,11,1
była,4,1
systemowi,9,1
małżonków,9,1
tej,3,1
jej,3,1
skuteczne,9,1
kulturalnych,12,1
przestjpstwa,12,1
płacy,5,1
koloru,6,1
nikomu,6,1
wyborów,7,1
odpowiednich,12,1
doprowadziło,12,1
postępować,10,1
obrony,6,1
zamieszkania,12,1
podległe,8,1
rodzinie,8,1
wyższe,6,1
Przetłumaczona,14,1
dana,4,1
poszanowanie,12,1
roku,4,1
oskarżony,9,1
dzieci,6,1
niewinnego,10,1
Nikt,4,1
jednakowe,9,1
Mężczyźni,9,1
świadczenia,11,1
przy,4,1
która,5,1
