Token,Length,Frequency
i,1,135
na,2,109
yan,3,92
gi,2,51
para,4,50
siha,4,49
derecho,7,48
todo,4,35
man,3,31
articulo,8,26
gai,3,26
pat,3,25
ni,2,22
taotao,6,18
nui,3,17
como,4,16
libertad,8,16
pot,3,12
un,2,12
este,4,12
pareho,6,11
debe,4,11
sina,4,10
ti,2,10
otro,4,9
taya,4,9
lai,3,8
de,2,8
niha,4,8
maseha,6,8
proteksion,10,8
ginen,5,8
asi,3,7
social,6,7
sin,3,7
ufan,4,6
persona,7,6
fundamental,11,6
guiya,5,6
linala,6,6
mangai,6,6
mas,3,6
universal,9,5
nasional,8,5
educasion,9,5
declarasion,11,5
libertao,8,5
tano,4,5
nihafa,6,5
nasion,6,5
kontra,6,5
nu,2,5
uno,3,5
gui,3,5
kada,4,4
tanona,6,4
guaha,5,4
finatinas,9,4
comodo,6,4
ma,2,4
hafa,4,4
u,1,4
dignidad,8,4
seguridad,9,4
kasamento,9,4
esta,4,4
kabales,7,4
necesario,9,4
kastigo,7,4
sociedad,8,4
familiana,9,3
minalago,8,3
ya,2,3
familia,7,3
political,9,3
eso,3,3
estao,5,3
ha,2,3
papa,4,3
incluso,7,3
discriminasion,14,3
internasional,13,3
inentalo,8,3
opinion,7,3
tiempo,6,3
faborable,9,3
publico,7,3
pena,4,3
humano,6,3
halom,5,3
kuatkuet,8,3
anai,4,3
derechon,8,2
finanague,9,2
relihionna,10,2
ugosa,5,2
tribunal,8,2
gaige,5,2
kininprende,11,2
membron,7,2
maguadian,9,2
rasa,4,2
tempopottempo,13,2
properdad,9,2
restriksion,11,2
inklulusa,9,2
yangin,6,2
utimo,5,2
isao,4,2
menan,5,2
utulaika,8,2
stado,5,2
umaadelanta,11,2
namaisa,7,2
oset,4,2
apas,4,2
umafatinas,10,2
cooperasion,11,2
acocontra,9,2
standard,8,2
umisao,6,2
relihion,8,2
contra,6,2
manae,5,2
akusa,5,2
servicion,9,2
assemblia,9,2
virtuoso,8,2
unidos,6,2
nasionalidadna,14,2
tai,3,2
hinengenna,10,2
dinanna,7,2
manera,6,2
asociasion,10,2
mano,4,2
gine,4,2
tisina,6,2
asagua,6,2
maamot,6,2
arbitrarion,11,1
considerasion,13,1
maayek,6,1
fabor,5,1
bale,4,1
umainvoka,9,1
masasegura,10,1
makumiti,8,1
dinisatende,11,1
heneralmente,12,1
regular,7,1
hinenge,7,1
guinahan,8,1
privado,7,1
loque,5,1
machochocho,11,1
umanifesta,10,1
dankulo,7,1
parto,5,1
tiempleao,9,1
inamko,6,1
garantia,8,1
humana,6,1
aspirasion,10,1
maadelantan,11,1
jurisdicksion,13,1
kauso,5,1
nenkano,7,1
persucusion,11,1
progresson,10,1
infancia,8,1
l6,2,1
estiman,7,1
nationalidad,12,1
biuda,5,1
importante,10,1
consiencia,10,1
ugai,4,1
hinagon,7,1
machanda,8,1
territorio,10,1
udeskansa,9,1
pacifico,8,1
unidas,6,1
distinguasion,13,1
duranten,8,1
denisprecia,11,1
kontro,6,1
lugana,6,1
desde,5,1
asilo,5,1
arbitariomente,14,1
makat,5,1
polomenos,9,1
consencian,10,1
boto,4,1
agoniado,8,1
rebulasion,10,1
oran,4,1
adelanta,8,1
maapela,7,1
takilo,6,1
acusasion,9,1
respeto,7,1
honrana,7,1
fanma,5,1
klase,5,1
interesna,9,1
katkuet,7,1
informasion,11,1
elementario,11,1
finato,6,1
ualigao,7,1
obligasionna,12,1
agobierbena,11,1
manmalatnos,11,1
sisinana,8,1
arreglon,8,1
famaguon,8,1
madetermina,11,1
mangaige,8,1
que,3,1
representante,13,1
usustiene,9,1
qualificao,10,1
deshonrao,9,1
di,2,1
sigun,5,1
lahe,4,1
haanen,6,1
uenebliga,9,1
expresasion,11,1
gumuaha,7,1
umasaguan,9,1
uforma,6,1
checho,6,1
standar,7,1
destierro,9,1
inosenti,8,1
ekualidad,9,1
kulor,5,1
neni,4,1
felicidadna,11,1
maapase,7,1
cruel,5,1
ubuetta,7,1
dignidadna,10,1
mafango,7,1
masaplemente,12,1
gobiernamento,13,1
guma,4,1
chocho,6,1
amot,4,1
consentimenton,14,1
eskalera,8,1
guinadda,8,1
astaki,6,1
secretuna,9,1
asiguridot,10,1
naturalmente,12,1
circumstancia,13,1
umahatme,8,1
effectibo,9,1
maarbitariomente,16,1
ocupasion,9,1
kinalanten,10,1
compensensia,12,1
inahenable,10,1
tanto,5,1
corespondenciana,16,1
inetnon,7,1
medio,5,1
organon,7,1
consciencia,11,1
kumentos,8,1
relihon,7,1
maobliga,8,1
commercion,10,1
mismo,5,1
teritorio,9,1
uresibe,7,1
debi,4,1
cultural,8,1
elmentario,10,1
gupot,5,1
umanaanok,9,1
nuebon,6,1
marealizasion,13,1
prenekura,9,1
tangue,6,1
encargo,7,1
maternida,9,1
acondancia,10,1
progresibo,10,1
pas,3,1
palauan,7,1
ayudo,5,1
espiritun,9,1
fandiskansayan,14,1
civilisao,9,1
ekuivalenten,12,1
lalahe,6,1
uma,3,1
uhalong,7,1
managuahan,10,1
uataka,6,1
sometido,8,1
hinemlo,7,1
secreto,7,1
independensia,13,1
umaconsige,10,1
penan,5,1
sexso,5,1
mana,4,1
derektamente,12,1
fatan,5,1
tinanga,7,1
crueldad,8,1
magahet,7,1
special,7,1
naonao,6,1
election,8,1
umaobtene,9,1
mididao,7,1
ahe,3,1
latakilo,8,1
kaso,4,1
empleado,8,1
linihen,7,1
charter,7,1
sed,3,1
esclavitudu,11,1
independente,12,1
nasionalidad,12,1
nahong,6,1
fundamenton,11,1
medico,6,1
ademas,6,1
uespiha,7,1
sihaasi,7,1
l5,2,1
autoridad,9,1
ufatinas,8,1
inistema,8,1
inamigo,7,1
uespia,6,1
kaps,4,1
inadespatan,11,1
principal,9,1
famalauan,9,1
pago,4,1
chumelo,7,1
kinentran,9,1
hasen,5,1
organisasion,12,1
idad,4,1
madeterminasion,15,1
aplikable,9,1
aproklama,9,1
ufachocho,9,1
empleo,6,1
naturalna,9,1
entrada,7,1
umaprotehe,10,1
remedio,7,1
inataka,7,1
solo,4,1
personalidadna,14,1
recurso,7,1
nisisariu,9,1
umagosa,7,1
esclabo,7,1
fundacion,9,1
jurisdicksional,15,1
gumana,6,1
linguahe,8,1
economia,8,1
ebidensia,9,1
idea,4,1
marecognisa,11,1
tratamento,10,1
chatflik,8,1
mapractica,10,1
usaonao,7,1
umaasegura,10,1
gobiernamenton,14,1
udingo,6,1
bota,4,1
inadora,7,1
ulaknos,7,1
inkaso,6,1
stados,6,1
haso,4,1
sinangan,8,1
enaye,5,1
guato,5,1
rendelon,8,1
ugagaige,8,1
accesso,7,1
mamantene,9,1
obtenamenten,12,1
estimular,9,1
ininutet,8,1
insulta,7,1
properdadna,11,1
justicia,8,1
constitucion,12,1
arbitrario,10,1
botasion,8,1
umana,5,1
descriminasion,14,1
profesional,11,1
intension,9,1
criminal,8,1
prisocio,8,1
masometido,10,1
manhuyon,8,1
teknical,8,1
nana,4,1
liberta,7,1
gobiernamentonna,16,1
hayi,4,1
heneralna,9,1
movimiento,10,1
umisague',9,1
mafanago,8,1
manamerese,10,1
minanao,7,1
marenuncia,10,1
chatmanhu'la,12,1
inadelantan,11,1
mababapara,11,1
obligao,7,1
maproclama,10,1
distingasiongi,14,1
inherente,9,1
servidumbre,11,1
po'lo,5,1
biudo,5,1
media,5,1
dumoko,6,1
reputasiona,11,1
chatbale,8,1
hinaso,6,1
entalo,6,1
masumetido,10,1
dinifendi,9,1
residencia,10,1
choch,5,1
klasen,6,1
inaresta,8,1
original,8,1
umapribe,8,1
esclavo,7,1
respecto,8,1
comercio,8,1
detension,9,1
preambulo,9,1
maumentaye,10,1
derechona,9,1
individual,10,1
magago,6,1
minagas,7,1
amestao,7,1
condision,9,1
natural,7,1
statulo,7,1
recognision,11,1
gurupon,7,1
hinason,7,1
associasion,11,1
minalango,9,1
enao,4,1
relasion,8,1
bahacion,8,1
hinegen,7,1
