Token,Length,Frequency
und,3,78
der,3,49
die,3,37
auf,3,31
zu,2,29
das,3,28
Recht,5,28
hat,3,26
Artikel,7,26
oder,4,25
Jeder,5,24
in,2,22
werden,6,15
durch,5,14
darf,4,11
ist,3,11
seine,5,11
Anspruch,8,10
haben,5,9
von,3,8
seiner,6,8
gegen,5,8
als,3,7
einer,5,7
bei,3,7
Niemand,7,7
Schutz,6,7
sowie,5,7
den,3,7
Freiheit,8,7
da,2,7
Menschen,8,6
mit,3,6
Menschenrechte,14,6
gleichen,8,6
Rechte,6,6
für,3,5
ohne,4,5
sind,4,5
des,3,5
Erklärung,9,5
zum,3,5
eine,4,5
Familie,7,5
dem,3,5
an,2,5
Alle,4,5
Nationen,8,5
Würde,5,5
vor,3,5
sich,4,5
Religion,8,4
Gesellschaft,12,4
frei,4,4
öffentlichen,12,4
dieser,6,4
Gesetz,6,4
seines,6,4
Grund,5,4
ein,3,4
nicht,5,4
Unterschied,11,4
nach,4,4
im,2,4
freie,5,3
Die,3,3
allen,5,3
Strafe,6,3
Person,6,3
soziale,7,3
fördern,7,3
Bildung,7,3
Vereinten,9,3
Landes,6,3
anderen,7,3
einem,5,3
Freiheiten,10,3
Gemeinschaft,12,3
Sicherheit,10,3
dieses,6,3
genießen,8,3
Staatsangehörigkeit,19,3
allgemeine,10,3
sozialen,8,3
willkürlich,11,3
gleiche,7,3
Handlung,8,3
diese,5,3
Mitgliedstaaten,15,2
wechseln,8,2
Kinder,6,2
jede,4,2
wegen,5,2
verkündet,9,2
Staates,7,2
jedes,5,2
befriedigende,13,2
Beeinträchtigungen,18,2
alle,4,2
gehalten,8,2
Wille,5,2
einen,5,2
ihrer,5,2
Mittel,6,2
ihren,5,2
Welt,4,2
sein,4,2
Handlungen,10,2
Rechten,7,2
gerechte,8,2
rechtlichen,11,2
Ehe,3,2
Zusammenarbeit,14,2
damit,5,2
Arbeitslosigkeit,16,2
Falle,5,2
Der,3,2
Art,3,2
menschlichen,12,2
Rasse,5,2
es,2,2
keine,5,2
Grundschulunterricht,20,2
einschließlich,14,2
Einhaltung,10,2
Achtung,7,2
wie,3,2
Anerkennung,11,2
seinen,6,2
Entwicklung,11,2
allein,6,2
Überzeugung,11,2
Gewissen,8,2
wird,4,2
gezwungen,9,2
Grundlage,9,2
Sklaverei,9,2
Sie,3,2
jeder,5,2
Arbeit,6,2
Land,4,2
Maßnahmen,9,2
gleich,6,2
notwendig,9,2
internationale,14,2
Verfahren,9,2
Begehung,8,2
ihm,3,2
Wohnung,7,2
gemacht,7,2
Bevölkerung,11,2
strafbaren,10,2
unter,5,2
muß,3,2
gewährleistet,13,2
bildet,6,2
schließt,8,2
suchen,6,2
Allgemeine,10,2
auch,4,2
Diskriminierung,15,2
verpflichtet,12,1
verboten,8,1
Selbstregierung,15,1
unschuldig,10,1
Ehegatten,9,1
Informationen,13,1
Vereinigungen,13,1
willkürlichen,13,1
unverfälschte,13,1
strafrechtlichen,16,1
Lande,5,1
Zeitpunkt,9,1
Grenzen,7,1
zuständigen,11,1
er,2,1
beizutreten,11,1
Aufhetzung,10,1
Berücksichtigung,16,1
gehabt,6,1
Eingriffe,9,1
selbst,6,1
Beschränkung,12,1
darauf,6,1
gegebenenfalls,14,1
uneingeschränkter,17,1
unverschuldete,14,1
obligatorisch,13,1
zurückzukehren,14,1
Invalidität,11,1
heiraten,8,1
vom,3,1
bemühen,7,1
gleichgültig,12,1
schützen,8,1
Lebensbedingungen,17,1
eines,5,1
Gottesdienst,12,1
tatsächlich,11,1
Garantien,9,1
Ämtern,6,1
natürliche,10,1
wirksamen,9,1
tatsächliche,12,1
Präambel,8,1
grundlegenden,13,1
Krankheit,9,1
halten,6,1
versammeln,10,1
unentbehrlich,13,1
zur,3,1
Wert,4,1
weiteren,8,1
versagt,7,1
Interessen,10,1
Männer,6,1
Vereinigung,11,1
freundschaftlicher,18,1
verstoßen,9,1
Genuß,5,1
Mitglieder,10,1
Brüderlichkeit,14,1
Wichtigkeit,11,1
Erholung,8,1
solchen,7,1
erneut,6,1
nachgewiesen,12,1
grausamer,9,1
Da,2,1
Leben,5,1
überall,7,1
ärztliche,9,1
regelmäßigen,12,1
größerer,8,1
Verpflichtung,13,1
bewegen,7,1
begabt,6,1
verstößt,8,1
Dieses,6,1
Kleidung,8,1
bilden,6,1
nationaler,10,1
Geist,5,1
Meinungsäußerung,16,1
Sprache,7,1
internationalen,15,1
Gedanken-,9,1
Verwitwung,10,1
Zeit,4,1
Streben,7,1
Grundsätze,10,1
kein,4,1
Staatsanghörigkeit,18,1
freien,6,1
anderweitigem,13,1
Unterhaltsmittel,16,1
öffentlich,10,1
Organe,6,1
unveräußerlichen,16,1
friedlich,9,1
geführt,7,1
Generalversammlung,18,1
gewährleisten,13,1
Arbeitszeit,11,1
Gerichten,9,1
A,1,1
irgendeinen,11,1
Nahrung,7,1
letztes,7,1
Verlust,7,1
Menschheit,10,1
Ideal,5,1
Gebiets,7,1
gelangen,8,1
