Token,Length,Frequency
の,1,124
に,1,103
を,1,100
は,1,80
て,1,45
権利,2,37
と,1,37
及び,2,34
人,1,33
する,2,32
すべて,3,31
有する,3,29
こと,2,26
条,1,26
第,1,25
で,1,24
な,1,24
自由,2,23
的,1,22
し,1,20
又,1,20
も,1,20
ない,2,19
が,1,16
受ける,3,15
さ,1,13
ある,2,11
れ,1,11
かつ,2,11
自己,2,11
よっ,2,10
た,1,10
社会,2,10
この,2,10
れる,2,9
平等,2,8
その,2,8
何,1,8
対し,2,8
おい,2,8
他,1,7
国,1,7
なら,2,7
また,2,7
人権,2,7
法,1,7
保護,2,7
者,1,6
いかなる,4,6
対する,3,6
労働,2,6
差別,2,6
国際,2,6
宣言,2,6
なけれ,3,5
なく,2,5
ば,1,5
婚姻,2,5
人間,2,5
られ,2,5
宗教,2,5
地域,2,5
尊厳,2,5
よる,2,5
並びに,3,4
行為,2,4
ため,2,4
受け,2,4
より,2,4
これ,2,4
政治,2,4
人民,2,4
世界,2,4
ら,1,4
公平,2,4
国籍,2,4
享有,2,4
上,1,4
もしくは,4,4
よう,2,4
下,1,4
促進,2,4
自国,2,4
ほしいまま,5,4
犯罪,2,4
手段,2,3
い,1,3
意思,2,3
裁判,2,3
国連,2,3
選挙,2,3
意見,2,3
含む,2,3
基本,2,3
間,1,3
でき,2,3
連合,2,3
干渉,2,3
信念,2,3
完全,2,3
か,1,3
家族,2,3
もつ,2,3
保障,2,3
制限,2,3
る,1,3
財産,2,3
同等,2,3
良心,2,3
家庭,2,3
権,1,3
つい,2,3
非,1,3
奴隷,2,3
生活,2,3
基礎,2,3
利,1,3
加盟,2,3
男女,2,3
必要,2,3
肝要,2,2
有利,2,2
共通,2,2
普遍,2,2
成年,2,2
構成,2,2
諸国,2,2
各,1,2
失業,2,2
各国,2,2
場合,2,2
す,1,2
誓約,2,2
平和,2,2
報酬,2,2
人類,2,2
攻撃,2,2
与え,2,2
総会,2,2
並び,2,2
ながら,3,2
国内,2,2
法律,2,2
及,1,2
協力,2,2
管轄,2,2
水準,2,2
統治,2,2
奪わ,2,2
独立,2,2
時,1,2
所,1,2
結社,2,2
求め,2,2
発展,2,2
思想,2,2
尊重,2,2
行わ,2,2
単独,2,2
属する,3,2
公開,2,2
なる,2,2
刑罰,2,2
できる,3,2
他国,2,2
有罪,2,2
定期,2,2
達成,2,2
投票,2,2
組織,2,2
人種,2,2
表明,2,2
ず,1,2
保,1,2
国又,2,2
あり,2,2
共同,2,2
努力,2,2
個人,2,2
確保,2,2
地位,2,2
訴追,2,2
変更,2,2
受,1,1
通信,2,1
一層,2,1
原則,2,1
言論,2,1
時間,2,1
迫害,2,1
かかわり,4,1
作為,2,1
残虐,2,1
価値,2,1
遵守,2,1
恐怖,2,1
国民,2,1
件,1,1
推定,2,1
参与,2,1
あっ,2,1
場所,2,1
信仰,2,1
原因,2,1
補充,2,1
願望,2,1
従っ,2,1
承認,2,1
義務,2,1
私事,2,1
から,2,1
関し,2,1
罰,1,1
際し,2,1
なん,2,1
掲げる,3,1
効果,2,1
こ,1,1
福祉,2,1
課せ,2,1
欠く,2,1
当たっ,3,1
会,1,1
自治,2,1
重い,2,1
精神,2,1
伝える,3,1
弁護,2,1
員,1,1
表現,2,1
通じ,2,1
け,1,1
越える,3,1
理性,2,1
基ずく,3,1
なし,2,1
前文,2,1
進歩,2,1
理解,2,1
等,1,1
皮膚,2,1
儀式,2,1
言語,2,1
経済,2,1
帰る,2,1
常,1,1
基準,2,1
互い,2,1
授け,2,1
最後,2,1
違反,2,1
友好,2,1
性,1,1
利益,2,1
専制,2,1
合理,2,1
社,1,1
のみ,2,1
回,1,1
苦役,2,1
審理,2,1
はこ,2,1
信用,2,1
さらに,3,1
救済,2,1
情報,2,1
もの,2,1
拷問,2,1
有給,2,1
欠乏,2,1
選出,2,1
向上,2,1
息,1,1
自身,2,1
護,1,1
確認,2,1
それ,2,1
強制,2,1
おけ,2,1
つく,2,1
まで,2,1
余暇,2,1
十分,2,1
反逆,2,1
制度,2,1
加入,2,1
避難,2,1
国境,2,1
休暇,2,1
無罪,2,1
秘密,2,1
決,1,1
休,1,1
実行,2,1
応じ,2,1
選択,2,1
いずれ,3,1
健康,2,1
最高,2,1
疾病,2,1
反する,3,1
関係,2,1
権限,2,1
憲章,2,1
享,1,1
合意,2,1
おり,2,1
よ,1,1
ここ,2,1
集団,2,1
ひとしく,4,1
胞,1,1
適用,2,1
採択,2,1
国家,2,1
指導,2,1
機関,2,1
もたらし,4,1
保持,2,1
生まれ,3,1
人々,2,1
布教,2,1
同,1,1
居住,2,1
否認,2,1
問わ,2,1
作,1,1
真正,2,1
組合,2,1
資源,2,1
両,1,1
安全,2,1
取扱,2,1
野蛮,2,1
刑事,2,1
障害,2,1
責任,2,1
べき,2,1
人格,2,1
内,1,1
色,1,1
定,1,1
びこ,2,1
有し,2,1
移転,2,1
私的,2,1
否,1,1
圧迫,2,1
支配,2,1
医療,2,1
解消,2,1
念頭,2,1
目的,2,1
中,1,1
到来,2,1
拘禁,2,1
権力,2,1
侵害,2,1
逮捕,2,1
公的,2,1
軽侮,2,1
人道,2,1
職業,2,1
売買,2,1
手続,2,1
大きな,3,1
信託,2,1
衣食住,3,1
主権,2,1
単位,2,1
名誉,2,1
門地,2,1
もっとも,4,1
なかっ,3,1
自然,2,1
屈辱,2,1
所有,2,1
ふさわし,4,1
採用,2,1
弟,1,1
為又,2,1
にじっ,3,1
訴える,3,1
直接,2,1
行動,2,1
憲法,2,1
公務,2,1
類する,3,1
重要,2,1
無視,2,1
禁止,2,1
不,1,1
正義,2,1
再,1,1
措置,2,1
いかな,3,1
追放,2,1
民,1,1
同権,2,1
あらゆる,4,1
境界,2,1
うち,2,1
一員,2,1
普通,2,1
心身,2,1
譲る,2,1
代表,2,1
べ,1,1
固有,2,1
礼拝,2,1
文化,2,1
身体,2,1
教育,2,1
そそのかす,5,1
去り,2,1
行事,2,1
集会,2,1
生命,2,1
服する,3,1
出身,2,1
めら,2,1
踏み,2,1
決意,2,1
施設,2,1
もっぱら,4,1
成立,2,1
もっ,2,1
り,1,1
