Token,Length,Frequency
immikkoortoq,12,19
aammalu,7,19
kinaluunniit,12,19
imaluunniit,11,13
pisinnaatitaavoq,16,8
inuttut,7,7
tamanut,7,5
naalagaaffiit,13,5
pisinnaatitaaffinnik,20,4
pisinnaatitaaffiit,18,4
inatsisitigut,13,4
tamarmik,8,4
killilersugaanngitsumik,23,4
inuup,5,4
naalagaaffimmi,14,3
upperisarsiornermi,18,3
ilaasortaasut,13,3
naalakkersuinikkut,18,3
qanoq,5,3
kikkulluunniit,14,3
sorlernut,9,3
peqatigiit,10,3
inuiaqatigiinni,15,3
inuiaqatigiit,13,3
nalaani,7,3
naligiimmik,11,3
ammasumik,9,3
tamatigut,9,2
pissutigalugit,14,2
aqqutigalugit,13,2
naapertorlugit,14,2
assigiinngisitsinertaqanngitsumik,33,2
nalunaarut,10,2
allanit,7,2
iliorsinnaatitaaffinnik,23,2
akerliusumik,12,2
peqateqarluni,13,2
inuit,5,2
kisimiilluni,12,2
upperisakkut,12,2
nunarsuarmi,11,2
inuk,4,2
pigisaanik,10,2
aalajangersimasumi,18,2
tassani,7,2
sumiluunniit,12,2
pingaaruteqarluinnarmat,23,2
namminiinnarsortumik,20,2
aamma,5,2
allamiut,8,2
pillagaassutaasinnaasumik,25,2
akornanni,9,2
illersorneqarnissamut,21,2
pillugit,8,2
silarsuarmioqatigiinnut,23,2
sutigulluunniit,15,2
pisuunermi,10,2
atugarisanik,12,2
inuiannut,9,2
allanilluunniit,15,2
ilaasuunermik,13,2
tunngasut,9,2
arnallu,7,2
pisinnaatitaaffinnut,20,2
killilersugaannginnissaq,24,2
tarnip,6,2
angutit,7,2
pissutsini,10,2
allatut,7,2
inatsisit,9,2
nunat,5,2
tungaatigut,11,2
imminut,7,2
killiliiffigineqanngitsumik,27,2
killilersugaanngitsumillu,25,2
innuttaasut,11,2
nammineersinnaassuseqartutut,28,1
iliuuseqarsimasutut,19,1
allat,5,1
oqalussinnaatitaaffigalugulu,28,1
ataasiakkaat,12,1
tamatuma,8,1
ataqqinninnerup,15,1
article,7,1
pillaatissisoqarsinnaassanngilaq,32,1
ersiorfiginagulu,16,1
sulissutigissallugu,19,1
anooqatigiinnut,15,1
tunngavissiisutut,17,1
aalajangiiniartoqassatillugu,28,1
siunertaannut,13,1
upperisamillu,13,1
pingaarnerpaatut,16,1
isumaat,7,1
tunngaviusut,12,1
kiffaanngissuseqarnermut,24,1
pissutissaqanngitsumik,22,1
