Token,Length,Frequency
kay,3,33
mana,4,32
tukuy,5,25
rimay,5,24
jina,4,21
atiyniyoj,9,17
chunka,6,17
tian,4,17
pillapis,8,17
kaj,3,16
ima,3,14
runa,4,14
chay,4,14
chayri,6,13
mayqen,6,11
kikin,5,11
kachun,6,10
kananpaj,8,10
kanqa,5,9
uj,2,9
pipis,5,9
atiynin,7,9
munaspa,7,8
llajta,6,8
chayqa,6,8
iskay,5,7
kasqanta,8,7
nitaj,5,7
laya,4,5
walej,5,5
allin,5,5
kayta,5,4
rimasqanman,11,4
atin,4,4
waj,3,4
rijch'aj,8,4
llajtanta,9,4
ujniyoj,7,4
tukuypaj,8,3
maynejllapipis,14,3
cheqan,6,3
masisninwan,11,3
ujnin,5,3
khuskamanta,11,3
khuska,6,3
ukhupi,6,3
mayllapipis,11,3
leyes,5,3
manataj,7,3
munasqanman,11,3
chijllasqa,10,3
sumaj,5,3
kanku,5,3
pitapis,7,3
runaj,5,3
kanan,5,3
pay,3,3
masikuna,8,3
ama,3,2
tukuynin,8,2
mit'a,5,2
justiciata,10,2
tawa,4,2
kawsakunankuta,14,2
munasqankumanta,15,2
simiyojpis,10,2
runaspata,9,2
runallapis,10,2
pachapi,7,2
kawsaypi,8,2
qarayojpis,10,2
jisq'on,7,2
llank'ay,8,2
qhapaj,6,2
kamachisqa,10,2
chhika,6,2
manaraj,7,2
yuraj,5,2
patapi,6,2
sapin,5,2
atisqa,6,2
kanqachu,8,2
llank'aj,8,2
llajtayoj,9,2
asllawan,8,2
declaracionesta,15,2
kananta,7,2
polìtica,8,2
imachus,7,2
chhikajpata,11,2
kasajtin,8,2
pusajniyoj,10,2
leyespi,7,2
atinanpaj,9,2
kawsaqe,7,2
llajtata,8,2
samarikuy,9,2
astawan,7,2
llajtayojllapis,15,2
chantapis,9,2
chijllasqachu,13,2
tukuynejpi,10,2
manchikuyniyojta,16,2
tanqasqachu,11,2
imatachus,9,2
masisnin,8,2
millay,6,2
kasqanrayku,11,2
uyarispa,8,2
t'ojpisqa,9,2
tawayoj,7,2
paypaj,6,2
tantakuypi,10,2
iskayniyoj,10,2
kinsayoj,8,2
ujkuna,6,2
kamachillantaj,14,1
qotumanchus,11,1
watapi,6,1
sua,3,1
amaprollamantaj,15,1
ñawiyojkuna,11,1
munaspari,9,1
kawsakusaspapis,15,1
cheqa,5,1
ña,2,1
